State,Sum 2016
AK,1940
AL,4111
AR,2463
AZ,9707
CA,118142
CO,10550
CT,3902
DC,8350
DE,1070
FL,33559
GA,12909
GU,1085
HI,7921
IA,3064
ID,2247
IL,11590
IN,5798
KS,2008
KY,4237
LA,3994
MA,19608
MD,7689
ME,2241
MI,9316
MN,7341
MO,6441
MS,1738
MT,1418
NC,9559
ND,923
NE,2754
NH,1366
NJ,8895
NM,2263
NV,7398
NY,86352
OH,10404
OK,4107
OR,13238
PA,15339
PR,4418
RI,1160
SC,5051
SD,1072
TN,8779
TX,23122
UT,2807
VA,6268
VI,341
VT,1117
WA,20827
WI,5685
WV,1387
WY,857
