State,Sum 2018
AK,2016
AL,3434
AR,2712
AZ,9865
CA,129972
CO,10857
CT,3976
DC,6904
DE,1082
FL,31030
GA,9499
GU,854
HI,6530
IA,2749
ID,2012
IL,10643
IN,5258
KS,2067
KY,3688
LA,3059
MA,20068
MD,7144
ME,2516
MI,8351
MN,7243
MO,6032
MP,1044
MS,1352
MT,1405
NC,9268
ND,542
NE,2421
NH,1450
NJ,9398
NM,2551
NV,7544
NY,91897
OH,10249
OK,3871
OR,14476
PA,13512
PR,3182
RI,1101
SC,3933
SD,1159
TN,7883
TX,25310
UT,2876
VA,5975
VI,486
VT,1291
WA,22304
WI,4907
WV,1243
WY,639
