State,Sum 2016
AK,14836268
AL,79582968
AR,41725777
AS,1297353
AZ,113151406
CA,917571478
CO,84797337
CT,100398448
DC,54419419
DE,22837958
FL,313348726
GA,177620457
GU,5226296
HI,33793608
IA,56544315
ID,23401938
IL,321447226
IN,108060576
KS,44651938
KY,79113384
LA,117315642
MA,201745025
MD,122923276
ME,37092787
MI,225971573
MN,102072742
MO,119902406
MP,1421958
MS,48151203
MT,17554742
NC,137636323
ND,13693312
NE,35341922
NH,26339203
NJ,173773856
NM,37695268
NV,50900885
NY,659502360
OH,291139174
OK,48972963
OR,86693663
PA,340399552
PR,103249797
RI,31388127
SC,66038518
SD,14665130
TN,96064331
TX,414437562
UT,41363824
VA,108084224
VI,2906038
VT,18665769
WA,139557725
WI,107606679
WV,36990090
WY,10612907
