State,Sum 2015
AK,1956
AL,3970
AR,2560
AZ,9896
CA,115738
CO,9953
CT,4047
DC,7298
DE,953
FL,35900
GA,13790
GU,1280
HI,7620
IA,3081
ID,1966
IL,13177
IN,5863
KS,2348
KY,4538
LA,4081
MA,21135
MD,8390
ME,2372
MI,10516
MN,7546
MO,6722
MS,1983
MT,1709
NC,10685
ND,1305
NE,2744
NH,1445
NJ,10098
NM,2629
NV,8743
NY,88250
OH,11182
OK,3777
OR,13226
PA,15421
PR,4518
RI,1111
SC,5354
SD,1036
TN,9123
TX,23678
UT,3025
VA,7001
VI,337
VT,1523
WA,19419
WI,6057
WV,1835
WY,798
