State,Sum 2017
AK,15957839
AL,82299152
AR,41448300
AS,1285987
AZ,117752159
CA,965033421
CO,86972405
CT,101799493
DC,55219732
DE,22979724
FL,326727767
GA,183091064
GU,5335715
HI,36842822
IA,57018011
ID,25241078
IL,334819715
IN,111065605
KS,45272012
KY,81779332
LA,119570219
MA,210359476
MD,130835170
ME,37910415
MI,230850805
MN,103912358
MO,121648640
MP,1439505
MS,48841160
MT,19178084
NC,140178340
ND,13838214
NE,35904789
NH,29280074
NJ,173822047
NM,39070494
NV,51690796
NY,674689333
OH,293704907
OK,49332835
OR,90616926
PA,345588909
PR,105258448
RI,31344073
SC,66504719
SD,14900153
TN,98726833
TX,424397112
UT,41864916
VA,110984599
VI,4360836
VT,20122010
WA,142667329
WI,110016519
WV,37391616
WY,10615168
