Year,State,Award Amount
2014,AK,956642
2014,AK,100657
2014,AK,34376
2014,AK,710970
2014,AK,201309
2014,AK,39386
2014,AK,97601
2014,AK,1691113
2014,AK,181437
2014,AK,30206
2014,AK,143987
2014,AK,598918
2014,AK,248518
2014,AK,85995
2014,AK,33158
2014,AK,62529
2014,AK,74284
2014,AK,504670
2014,AK,31512
2014,AK,28212
2014,AK,47250
2014,AK,73948
2015,AK,2509768
2015,AK,215620
2015,AK,3002167
2015,AK,30206
2015,AK,124803
2015,AK,103998
2015,AK,21208
2015,AK,714913
2015,AK,24212
2015,AK,89909
2015,AK,781269
2015,AK,84741
2015,AK,181437
2015,AK,212955
2015,AK,41247
2015,AK,738136
2015,AK,104192
2015,AK,1613622
2015,AK,150740
2015,AK,530461
2015,AK,248518
2015,AK,62529
2015,AK,85995
2015,AK,67313
2015,AK,80000
2015,AK,543571
2015,AK,31512
2015,AK,47130
2015,AK,73948
2016,AK,2592884
2016,AK,225884
2016,AK,3023400
2016,AK,3000000
2016,AK,30206
2016,AK,714913
2016,AK,21208
2016,AK,22157
2016,AK,89909
2016,AK,99354
2016,AK,124803
2016,AK,86736
2016,AK,181437
2016,AK,212955
2016,AK,738136
2016,AK,130411
2016,AK,1606172
2016,AK,145258
2016,AK,545535
2016,AK,248518
2016,AK,62529
2016,AK,85995
2016,AK,67313
2016,AK,80000
2016,AK,50592
2016,AK,543571
2016,AK,31512
2016,AK,46880
2016,AK,28000
2017,AK,158313
2017,AK,2628989
2017,AK,230448
2017,AK,3016971
2017,AK,3000000
2017,AK,30206
2017,AK,691954
2017,AK,71827
2017,AK,22149
2017,AK,22816
2017,AK,96728
2017,AK,106830
2017,AK,915442
2017,AK,85498
2017,AK,175994
2017,AK,77600
2017,AK,126499
2017,AK,1612907
2017,AK,144598
2017,AK,133348
2017,AK,543890
2017,AK,241062
2017,AK,67271
2017,AK,90659
2017,AK,69336
2017,AK,67313
2017,AK,848411
2017,AK,54639
2017,AK,527264
2017,AK,34033
2017,AK,64844
2018,AK,158313
2018,AK,133166
2018,AK,2958723
2018,AK,235176
2018,AK,3008138
2018,AK,3000000
2018,AK,30206
2018,AK,705406
2018,AK,61440
2018,AK,73279
2018,AK,98545
2018,AK,23272
2018,AK,23295
2018,AK,767362
2018,AK,175994
2018,AK,77600
2018,AK,85413
2018,AK,129811
2018,AK,1726068
2018,AK,145198
2018,AK,733068
2018,AK,241062
2018,AK,91918
2018,AK,68551
2018,AK,67956
2018,AK,67313
2018,AK,863363
2018,AK,49086
2018,AK,55732
2018,AK,542530
2018,AK,34714
2018,AK,67364
2019,AK,159736
2019,AK,127036
2019,AK,80638
2019,AK,3017702
2019,AK,250712
2019,AK,3005732
2019,AK,3000000
2019,AK,30206
2019,AK,688630
2019,AK,74731
2019,AK,100398
2019,AK,23728
2019,AK,23770
2019,AK,175994
2019,AK,77600
2019,AK,113416
2019,AK,129811
2019,AK,844211
2019,AK,27500
2019,AK,1720154
2019,AK,146461
2019,AK,663207
2019,AK,127315
2019,AK,241062
2019,AK,300000
2019,AK,248331
2019,AK,38741
2019,AK,93203
2019,AK,69857
2019,AK,69828
2019,AK,48990
2019,AK,56847
2019,AK,542530
2019,AK,35408
2019,AK,67313
2019,AK,66176
2019,AK,179704
2020,AK,1798553
2020,AK,1855168
2020,AK,2536801
2020,AK,3157697
2020,AK,914566
2020,AK,4142143
2020,AK,265224
2020,AK,3000000
2020,AK,3000000
2020,AK,102081
2020,AK,85569
2020,AK,892646
2020,AK,1819047
2020,AK,1070086
2020,AK,1991655
2020,AK,151146
2020,AK,3774024
2020,AK,521193
2020,AK,723508
2003,AL,29144000
2003,AL,1417000
2003,AL,17285000
2003,AL,1137000
2003,AL,807000
2003,AL,880000
2003,AL,861000
2003,AL,8117000
2003,AL,301000
2003,AL,2347573
2003,AL,486000
2003,AL,639000
2003,AL,658000
2003,AL,505000
2003,AL,1425000
2003,AL,346000
2003,AL,1598000
2003,AL,774810
2003,AL,2596000
2003,AL,95000
2003,AL,1072659
2003,AL,2491000
2003,AL,101000
2003,AL,976059
2003,AL,3373000
2003,AL,124000
2003,AL,1600938
2003,AL,2629000
2003,AL,99000
2003,AL,1338308
2003,AL,317000
2003,AL,1146000
2003,AL,680223
2004,AL,616405
2004,AL,30047474
2004,AL,1401614
2004,AL,17571405
2004,AL,1139000
2004,AL,807000
2004,AL,860000
2004,AL,850000
2004,AL,8017000
2004,AL,296915
2004,AL,2347512
2004,AL,520000
2004,AL,619000
2004,AL,640000
2004,AL,514000
2004,AL,1415000
