State,Sum 2015
AK,12516120
AL,75026293
AR,38203102
AS,1281408
AZ,109653496
CA,885673111
CO,80914657
CT,95955070
DC,53765207
DE,20515313
FL,303474991
GA,166079918
GU,5101661
HI,33332897
IA,52567444
ID,19875290
IL,317842808
IN,101811555
KS,42281475
KY,74908081
LA,111709924
MA,197791975
MD,118423319
ME,37908125
MI,223993680
MN,98410892
MO,115187159
MP,1354702
MS,44555436
MT,15867190
NC,128431759
ND,10754217
NE,31205911
NH,23657305
NJ,166294001
NM,33475618
NV,47092412
NY,667981590
OH,285251049
OK,45354657
OR,79832428
PA,335939909
PR,104157230
RI,28238706
SC,62116612
SD,11427222
TN,90904458
TX,405417967
UT,37982750
VA,103287042
VI,2840541
VT,15727192
WA,134566457
WI,97197820
WV,33576318
WY,7556250
